"table","Reference","DOI","Description","URL..for.data.","BibTex"
"Tests of vocabulary_T","Vermeiren, H., Vandendaele, A., & Brysbaert, M. (2023). Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension. Behavior Research Methods, 55(3), 1036-1068.","10.3758/s13428-022-01856-x",NA,"https://osf.io/ef3s4/"," @article{Vermeiren_2022, title={Validated tests for language research with university students whose native language is English: Tests of vocabulary, general knowledge, author recognition, and reading comprehension}, volume={55}, ISSN={1554-3528}, url={http://dx.doi.org/10.3758/s13428-022-01856-x}, DOI={10.3758/s13428-022-01856-x}, number={3}, journal={Behavior Research Methods}, publisher={Springer Science and Business Media LLC}, author={Vermeiren, Hanke and Vandendaele, Aaron and Brysbaert, Marc}, year={2022}, month=may, pages={1036–1068} }
"
"PVPVESQ_Gasiorowska_2021_study2_AQ","Gasiorowska, A., Glomb, K., & Kesebir, P. (2023). Psychometric validation of the polish version of the emotional style questionnaire. Current Psychology, 42(26), 22351-22369.","10.1007/s12144-022-03323-4",NA,"https://osf.io/twzq4/"," @article{Gasiorowska_2022, title={Psychometric validation of the polish version of the emotional style questionnaire}, volume={42}, ISSN={1936-4733}, url={http://dx.doi.org/10.1007/s12144-022-03323-4}, DOI={10.1007/s12144-022-03323-4}, number={26}, journal={Current Psychology}, publisher={Springer Science and Business Media LLC}, author={Gasiorowska, Agata and Glomb, Kaja and Kesebir, Pelin}, year={2022}, month=jun, pages={22351–22369} }
"
"PPSCMMUSAUK_Keech_2019_Apprais_df","Keech, J. J., Orbell, S., Hagger, M. S., O’Callaghan, F. V., & Hamilton, K. (2021). Psychometric properties of the stress control mindset measure in university students from Australia and the UK. Brain and Behavior, 11(2), e01963.","10.1002/brb3.1963",NA,"https://osf.io/6kdgz/"," @article{Keech_2020, title={Psychometric properties of the stress control mindset measure in university students from Australia and the UK}, volume={11}, ISSN={2162-3279}, url={http://dx.doi.org/10.1002/brb3.1963}, DOI={10.1002/brb3.1963}, number={2}, journal={Brain and Behavior}, publisher={Wiley}, author={Keech, Jacob J. and Orbell, Sheina and Hagger, Martin S. and O’Callaghan, Frances V. and Hamilton, Kyra}, year={2020}, month=nov }
"
"PPCDRSSA_FranciscoJ_2023_CDRISC","García León, M. D. L. Á., González Gómez, A., Robles Ortega, H., Padilla García, J. L., & Peralta Ramírez, M. I. (2019). Psychometric properties of the Connor-Davidson Resilience Scale (CD-RISC) in the Spanish population.","10.6018/analesps.35.1.314111","The Connor-Davison Resilience Scale","https://osf.io/f7rp3/"," @article{Garc_a_Le_n_2018, title={Propiedades psicométricas de la Escala de Resiliencia de Connor y Davidson (CD-RISC) en población española.}, volume={35}, ISSN={0212-9728}, url={http://dx.doi.org/10.6018/analesps.35.1.314111}, DOI={10.6018/analesps.35.1.314111}, number={1}, journal={Anales de Psicología}, publisher={Servicio de Publicaciones de la Universidad de Murcia}, author={García León, Maria Ángeles and González-Gomez, Andrés and Robles-Ortega, Humbelina and Padilla, Jose Luís and Peralta-Ramirez, Isabel}, year={2018}, month=dec, pages={33–40} }
"
"PPCDRSSA_FranciscoJ_2023_RCADS30","García León, M. D. L. Á., González Gómez, A., Robles Ortega, H., Padilla García, J. L., & Peralta Ramírez, M. I. (2019). Psychometric properties of the Connor-Davidson Resilience Scale (CD-RISC) in the Spanish population.","10.6018/analesps.35.1.314111","The Revised Child Anxiety and Depression Scale−30","https://osf.io/f7rp3/"," @article{Garc_a_Le_n_2018, title={Propiedades psicométricas de la Escala de Resiliencia de Connor y Davidson (CD-RISC) en población española.}, volume={35}, ISSN={0212-9728}, url={http://dx.doi.org/10.6018/analesps.35.1.314111}, DOI={10.6018/analesps.35.1.314111}, number={1}, journal={Anales de Psicología}, publisher={Servicio de Publicaciones de la Universidad de Murcia}, author={García León, Maria Ángeles and González-Gomez, Andrés and Robles-Ortega, Humbelina and Padilla, Jose Luís and Peralta-Ramirez, Isabel}, year={2018}, month=dec, pages={33–40} }
"
"PPCDRSSA_FranciscoJ_2023_KIDS","García León, M. D. L. Á., González Gómez, A., Robles Ortega, H., Padilla García, J. L., & Peralta Ramírez, M. I. (2019). Psychometric properties of the Connor-Davidson Resilience Scale (CD-RISC) in the Spanish population.","10.6018/analesps.35.1.314111","KIDSCREEN–10","https://osf.io/f7rp3/"," @article{Garc_a_Le_n_2018, title={Propiedades psicométricas de la Escala de Resiliencia de Connor y Davidson (CD-RISC) en población española.}, volume={35}, ISSN={0212-9728}, url={http://dx.doi.org/10.6018/analesps.35.1.314111}, DOI={10.6018/analesps.35.1.314111}, number={1}, journal={Anales de Psicología}, publisher={Servicio de Publicaciones de la Universidad de Murcia}, author={García León, Maria Ángeles and González-Gomez, Andrés and Robles-Ortega, Humbelina and Padilla, Jose Luís and Peralta-Ramirez, Isabel}, year={2018}, month=dec, pages={33–40} }
"
"PPCDRSSA_FranciscoJ_2023_SDQ","García León, M. D. L. Á., González Gómez, A., Robles Ortega, H., Padilla García, J. L., & Peralta Ramírez, M. I. (2019). Psychometric properties of the Connor-Davidson Resilience Scale (CD-RISC) in the Spanish population.","10.6018/analesps.35.1.314111","The Strength and Difficulties Questionnaire","https://osf.io/f7rp3/"," @article{Garc_a_Le_n_2018, title={Propiedades psicométricas de la Escala de Resiliencia de Connor y Davidson (CD-RISC) en población española.}, volume={35}, ISSN={0212-9728}, url={http://dx.doi.org/10.6018/analesps.35.1.314111}, DOI={10.6018/analesps.35.1.314111}, number={1}, journal={Anales de Psicología}, publisher={Servicio de Publicaciones de la Universidad de Murcia}, author={García León, Maria Ángeles and González-Gomez, Andrés and Robles-Ortega, Humbelina and Padilla, Jose Luís and Peralta-Ramirez, Isabel}, year={2018}, month=dec, pages={33–40} }
"
"duolingo_en_es__reverse_translate","Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO","10.7910/DVN/8SWHNO","Modeling of second language acquisition, data from English learners (who already speak Spanish).","http://sharedtask.duolingo.com/2018.html#task-definition-data","@misc{https://doi.org/10.7910/dvn/8swhno,
  doi = {10.7910/DVN/8SWHNO},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/8SWHNO},
  author = {{Settles, Burr}},
  keywords = {Computer and Information Science, Social Sciences, Duolingo, Spaced Repetition, Second Language Acquisition, Machine Learning, Computational Linguistics},
  title = {Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)},
  publisher = {Harvard Dataverse},
  year = {2018}
}
"
"duolingo_en_es__reverse_tap","Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO","10.7910/DVN/8SWHNO","Modeling of second language acquisition, data from English learners (who already speak Spanish).","http://sharedtask.duolingo.com/2018.html#task-definition-data","@misc{https://doi.org/10.7910/dvn/8swhno,
  doi = {10.7910/DVN/8SWHNO},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/8SWHNO},
  author = {{Settles, Burr}},
  keywords = {Computer and Information Science, Social Sciences, Duolingo, Spaced Repetition, Second Language Acquisition, Machine Learning, Computational Linguistics},
  title = {Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)},
  publisher = {Harvard Dataverse},
  year = {2018}
}
"
"duolingo_en_es__listen","Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO","10.7910/DVN/8SWHNO","Modeling of second language acquisition, data from English learners (who already speak Spanish).","http://sharedtask.duolingo.com/2018.html#task-definition-data","@misc{https://doi.org/10.7910/dvn/8swhno,
  doi = {10.7910/DVN/8SWHNO},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/8SWHNO},
  author = {{Settles, Burr}},
  keywords = {Computer and Information Science, Social Sciences, Duolingo, Spaced Repetition, Second Language Acquisition, Machine Learning, Computational Linguistics},
  title = {Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)},
  publisher = {Harvard Dataverse},
  year = {2018}
}
"
"duolingo_es_en__reverse_translate","Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO","10.7910/DVN/8SWHNO","Modeling of second language acquisition, data from Spanish learners (who already speak English).","http://sharedtask.duolingo.com/2018.html#task-definition-data","@misc{https://doi.org/10.7910/dvn/8swhno,
  doi = {10.7910/DVN/8SWHNO},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/8SWHNO},
  author = {{Settles, Burr}},
  keywords = {Computer and Information Science, Social Sciences, Duolingo, Spaced Repetition, Second Language Acquisition, Machine Learning, Computational Linguistics},
  title = {Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)},
  publisher = {Harvard Dataverse},
  year = {2018}
}
"
"duolingo_es_en__reverse_tap","Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO","10.7910/DVN/8SWHNO","Modeling of second language acquisition, data from Spanish learners (who already speak English).","http://sharedtask.duolingo.com/2018.html#task-definition-data","@misc{https://doi.org/10.7910/dvn/8swhno,
  doi = {10.7910/DVN/8SWHNO},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/8SWHNO},
  author = {{Settles, Burr}},
  keywords = {Computer and Information Science, Social Sciences, Duolingo, Spaced Repetition, Second Language Acquisition, Machine Learning, Computational Linguistics},
  title = {Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)},
  publisher = {Harvard Dataverse},
  year = {2018}
}
"
"duolingo_es_en__listen","Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO","10.7910/DVN/8SWHNO","Modeling of second language acquisition, data from Spanish learners (who already speak English).","http://sharedtask.duolingo.com/2018.html#task-definition-data","@misc{https://doi.org/10.7910/dvn/8swhno,
  doi = {10.7910/DVN/8SWHNO},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/8SWHNO},
  author = {{Settles, Burr}},
  keywords = {Computer and Information Science, Social Sciences, Duolingo, Spaced Repetition, Second Language Acquisition, Machine Learning, Computational Linguistics},
  title = {Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)},
  publisher = {Harvard Dataverse},
  year = {2018}
}
"
"duolingo_fr_en__reverse_translate","Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO","10.7910/DVN/8SWHNO","Modeling of second language acquisition, data from French learners (who already speak English).","http://sharedtask.duolingo.com/2018.html#task-definition-data","@misc{https://doi.org/10.7910/dvn/8swhno,
  doi = {10.7910/DVN/8SWHNO},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/8SWHNO},
  author = {{Settles, Burr}},
  keywords = {Computer and Information Science, Social Sciences, Duolingo, Spaced Repetition, Second Language Acquisition, Machine Learning, Computational Linguistics},
  title = {Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)},
  publisher = {Harvard Dataverse},
  year = {2018}
}
"
"duolingo_fr_en__reverse_tap","Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO","10.7910/DVN/8SWHNO","Modeling of second language acquisition, data from French learners (who already speak English).","http://sharedtask.duolingo.com/2018.html#task-definition-data","@misc{https://doi.org/10.7910/dvn/8swhno,
  doi = {10.7910/DVN/8SWHNO},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/8SWHNO},
  author = {{Settles, Burr}},
  keywords = {Computer and Information Science, Social Sciences, Duolingo, Spaced Repetition, Second Language Acquisition, Machine Learning, Computational Linguistics},
  title = {Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)},
  publisher = {Harvard Dataverse},
  year = {2018}
}
"
"duolingo_fr_en__listen","Settles, Burr, 2018, ""Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)"", https://doi.org/10.7910/DVN/8SWHNO, Harvard Dataverse, V4, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8SWHNO","10.7910/DVN/8SWHNO","Modeling of second language acquisition, data from French learners (who already speak English).","http://sharedtask.duolingo.com/2018.html#task-definition-data","@misc{https://doi.org/10.7910/dvn/8swhno,
  doi = {10.7910/DVN/8SWHNO},
  url = {https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/8SWHNO},
  author = {{Settles, Burr}},
  keywords = {Computer and Information Science, Social Sciences, Duolingo, Spaced Repetition, Second Language Acquisition, Machine Learning, Computational Linguistics},
  title = {Data for the 2018 Duolingo Shared Task on Second Language Acquisition Modeling (SLAM)},
  publisher = {Harvard Dataverse},
  year = {2018}
}
"
"imos_2018",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2018,
  title = {International Math Olympiad problems},
  year = {2018},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1984",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1984,
  title = {International Math Olympiad problems},
  year = {1984},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1985",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1985,
  title = {International Math Olympiad problems},
  year = {1985},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1986",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1986,
  title = {International Math Olympiad problems},
  year = {1986},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1987",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1987,
  title = {International Math Olympiad problems},
  year = {1987},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1988",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1988,
  title = {International Math Olympiad problems},
  year = {1988},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1989",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1989,
  title = {International Math Olympiad problems},
  year = {1989},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1990",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1990,
  title = {International Math Olympiad problems},
  year = {1990},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1991",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1991,
  title = {International Math Olympiad problems},
  year = {1991},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1992",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1992,
  title = {International Math Olympiad problems},
  year = {1992},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1993",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1993,
  title = {International Math Olympiad problems},
  year = {1993},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1994",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1994,
  title = {International Math Olympiad problems},
  year = {1994},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1995",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1995,
  title = {International Math Olympiad problems},
  year = {1995},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1996",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1996,
  title = {International Math Olympiad problems},
  year = {1996},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1997",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1997,
  title = {International Math Olympiad problems},
  year = {1997},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1998",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1998,
  title = {International Math Olympiad problems},
  year = {1998},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_1999",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_1999,
  title = {International Math Olympiad problems},
  year = {1999},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2000",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2000,
  title = {International Math Olympiad problems},
  howpublished = {Kaggle Dataset},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2001",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2001,
  title = {International Math Olympiad problems},
  year = {2001},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2002",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2002,
  title = {International Math Olympiad problems},
  year = {2002},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2003",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2003,
  title = {International Math Olympiad problems},
  year = {2003},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2004",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2004,
  title = {International Math Olympiad problems},
  year = {2004},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2005",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2005,
  title = {International Math Olympiad problems},
  year = {2005},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2006",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2006,
  title = {International Math Olympiad problems},
  year = {2006},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2007",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2007,
  title = {International Math Olympiad problems},
  year = {2007},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2008",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2008,
  title = {International Math Olympiad problems},
  year = {2008},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2009",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2009,
  title = {International Math Olympiad problems},
  year = {2009},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2010",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2010,
  title = {International Math Olympiad problems},
  year = {2010},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2011",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2011,
  title = {International Math Olympiad problems},
  year = {2011},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2012",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2012,
  title = {International Math Olympiad problems},
  year = {2012},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2013",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2013,
  title = {International Math Olympiad problems},
  year = {2013},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2014",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2014,
  title = {International Math Olympiad problems},
  year = {2014},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2015",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2015,
  title = {International Math Olympiad problems},
  year = {2015},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2016",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2016,
  title = {International Math Olympiad problems},
  year = {2016},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"imos_2017",NA,NA,"International Math Olympiad problems","https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv","@misc{imos_2017,
  title = {International Math Olympiad problems},
  year = {2017},
  url = {https://www.kaggle.com/datasets/luckyt/imo-scores?select=imo_results.csv},
  note = {Accessed: 2023-10-01}
}"
"gilbert_meta_77","Cabell, S. Q., Kim, J. S., White, T. G., Gale, C. J., Edwards, A. A., Hwang, H., ... & Raines, R. M. (2024). Impact of a content-rich literacy curriculum on kindergarteners’ vocabulary, listening comprehension, and content knowledge. Journal of Educational Psychology.","10.1037/edu0000916","Clinical Evaluation of Language Fundamentals—Fourth Edition Sentence Structure subtest","https://ldbase.org/datasets/de4bf144-39ed-430c-862d-201009d3d33e"," @article{Cabell_2025, title={Impact of a content-rich literacy curriculum on kindergarteners’ vocabulary, listening comprehension, and content knowledge.}, volume={117}, ISSN={0022-0663}, url={http://dx.doi.org/10.1037/edu0000916}, DOI={10.1037/edu0000916}, number={2}, journal={Journal of Educational Psychology}, publisher={American Psychological Association (APA)}, author={Cabell, Sonia Q. and Kim, James S. and White, Thomas G. and Gale, Charles J. and Edwards, Ashley A. and Hwang, HyeJin and Petscher, Yaacov and Raines, Rhonda M.}, year={2025}, month=feb, pages={153–175} }
"
"gilbert_meta_78","Cabell, S. Q., Kim, J. S., White, T. G., Gale, C. J., Edwards, A. A., Hwang, H., ... & Raines, R. M. (2024). Impact of a content-rich literacy curriculum on kindergarteners’ vocabulary, listening comprehension, and content knowledge. Journal of Educational Psychology.","10.1037/edu0000916","Peabody Picture Vocabulary Test—Fourth Edition","https://ldbase.org/datasets/de4bf144-39ed-430c-862d-201009d3d33e"," @article{Cabell_2025, title={Impact of a content-rich literacy curriculum on kindergarteners’ vocabulary, listening comprehension, and content knowledge.}, volume={117}, ISSN={0022-0663}, url={http://dx.doi.org/10.1037/edu0000916}, DOI={10.1037/edu0000916}, number={2}, journal={Journal of Educational Psychology}, publisher={American Psychological Association (APA)}, author={Cabell, Sonia Q. and Kim, James S. and White, Thomas G. and Gale, Charles J. and Edwards, Ashley A. and Hwang, HyeJin and Petscher, Yaacov and Raines, Rhonda M.}, year={2025}, month=feb, pages={153–175} }
"
